,Latitude,Longitude,name,wheelchair,wheelchair:description,amenity,opening_hours,tourism,atm,website,cuisine,toilets:wheelchair,image,image2,bus,railway,public_transport,PublicTraffic,What
7,25.7205341328485,32.6574784741629,المتحف المفتوح بالكرنك,Karnak Open Museum,العصر الحديث,محافظة الأقصر,"يضم المتحف المفتوح فى معابد الكرنك مجموعة مميزة من المقصورات التاريخية لمختلف العصور الفرعونية الوسطى والحديثة والقديمة لحتشبسوت وسنوسرت الأول، وجدارية لقرود ""البابون""، وأوانى كان القدماء المصريون يستخدمونها، ومصاطب بمشهد مميز تحوى المئات من القطع الأثرية التى تم إهمالها وإلقاؤها على مدار السنوات الماضية، حيث يعتبر إن المتحف المفتوح كنز تاريخى، وخطوة من وزارة الآثار لدعم فكرة تطويره وتجديده، كما يضم قطعا أثرية جديدة تبين عظمة الحضارة المصرية الفرعونية والتى ما زالت تشكل علامات استفهام وإعجاب بقدراتهم العملية والفنية والفلكية فى مختلف المجالات، ليثبت أنهم سبقوا العالم أجمع بآلاف السنين فى شتى المجالات.",السياحة الأثرية والتاريخية,,متاحف,مصر,أطلال أثرية,src='https://github.com/nasser9008/masterpicture/blob/main/20211107_154202.jpg',src='https://github.com/nasser9008/masterpicture/blob/main/White_Chapel.jpg',,,,,
36,22.3369443706251,31.6255957500390,معبد أبو سمبل,Abu Simbel Temple,عصر الدولة القديمة,محافظة أسوان,"معابد أبو سمبل هما معبدان مصرييان منحوتان بالصخر يقعان في النوبة في جنوب مصر. يعود تاريخ بداية إنشاءها إلى العام 1264 ق م واستمر العمل حتى انتهى عام 1244 ق م. تم تسجيل الموقع في قائمة اليونسكو للتراث العالمي في عام 1979، كجزء من معالم النوبة من أبو سمبل إلى فيلة.",السياحة الأثرية والتاريخية,,معابد قديمة,مصر,أطلال أثرية,src='https://github.com/nasser9008/masterpicture/blob/main/abusimple.jpg',,,,,,
52,25.7091640822587,32.6486751817179,طريق الكباش,Rams road,عصر الدولة القديمة,محافظة الأقصر,"«طريق الكباش» هو في الأصل طريق ملكي كان يربط ما بين «معبد الأقصر» و «معبد الكرنك» ويبلغ طوله 2700 متر، وكان ملوك مصر القديمة يستخدمونه في الاحتفالات والطقوس الدينية، وكان للطريق في هذا الوقت اسمان الأول: «وات نثر» ويعني طريق الرب، والثاني: هو «تا مي رهنت» ويعني «طريق الكباش» وذلك لأن الطريق كله مزيّن على الجانبين بتماثيل على هيئة كباش في وضعية أبو الهول، والكبش هنا يرمز للإله آمون. هذا الطريق كان مجهولا وغير معروف لأنه ظل مدفونا تحت الأرض لقرون طويلة، وأول من اكتشف هذا الطريق الدكتور الأثري «زكريا غنيم» عام 1949، حين كان ينقّب عن الآثار فعثر على 14 كبشا، وبعدها بعدة سنوات وفي الستينات عثر الدكتور «محمد عبد الرازق» على 64 كبشا آخرين، وفي عام 2002 توصل الدكتور «محمد الصغير» إلى حقيقة انه طريق كامل طوله 2.7 كم مزين على جانبيه بالكامل بــ 1200 كبش، واستطاع أن يحدد مسار الطريق القديم الأصلي بدقة",السياحة الأثرية والتاريخية,,موقع أثرى,مصر,أطلال أثرية,src='https://github.com/nasser9008/masterpicture/blob/main/ramoseroad.jpeg',,,,,,
59,25.9919494565982,33.5694992302163,وادى الحمامات,The Valley of the Baths,عصر الدولة القديمة,محافظة البحر الأحمر,"وادي الحمامات هو حوض نهري جاف يقع في الصحراء الشرقية في مصر، تقريباً في منتصف الطريق بين القصير و قنا. لقد كان منطقة تعدين هامة في الماضي وطريقاً تجارياً هاماً شرق نهر النيل بالإضافة إلى احتوائه على رسوم ونقوش صخرية أكسبته أهمية علمية و سياحية متميزة.",السياحة الأثرية والتاريخية,,موقع أثرى,مصر,أطلال أثرية,src='https://github.com/nasser9008/masterpicture/blob/main/hmamatt.jpg',,,,,,
65,22.9687447954468,35.3372375240571,معبد وادى سعفة,Safah Valley Temple,عصر الدولة القديمة,محافظة البحر الأحمر,والذى سمى باسمه الوادى ومما يدل على تواجد الفراعنة بمنطقة المثلثل حيث توجد بوابة فرعونية الشكل تنتهى بنبع مائى وللمعبد مكانة كبيرة عند السكان المحليين حيث تعرف باسم بوايبة الماء الأثرية ويوجد عنها واحة سعفة,السياحة الأثرية والتاريخية,,موقع أثرى,مصر,أطلال أثرية,,,,,,,
67,26.1319512025197,34.0873744848532,كهف سودمين,Sodmen Cave,مواقع ما قبل الأسرات,محافظة البحر الأحمر," 5 أمتار وخلف هذه الكتلة ممر قصير يؤدي إلى عدة حجرات على عمق 30 مترا تحت الأرض ومن الممر الأوسط ما يقرب من 18 حجرة وكانت حجرة الدفن هي الحجرة الكبيرة في الوسط المصنوعة جدرانها من الحجر وعلى بعد قليل من الجهة البحرية لمصطبة زوسر كشف عن بناء كبير أخر من نفس الطراز قد تكون مقبرة شقيقه "" سانخت "" ",السياحة الأثرية والتاريخية,,موقع أثرى,مصر,أطلال أثرية,src='https://github.com/nasser9008/masterpicture/blob/main/Sodmein%20.png',,,,,,
72,24.0778790879976,32.8916567190164,المقابر الفاطمية,Fatimid tombs,العصر الاسلامى,محافظة أسوان,"المقابر الفاطمية في اسوان ‏ تنقسم الجبانات الفاطمية في جنوب مصر إلى قسمين وهم الجبانة القبلية والجبانة البحرية، حيث تقع الجبانة القبلية في اسوان على طريق خزان اسوان بجوار متحف النوبة اما الجبانة البحرية فتقع في منطقة العناني، ويتميز شكل القباب الموجودة في المقابر الفاطمية بوجود اوجه اضلاع ثمانية متقابلة للقبة والذى بلغ عددها ""80"" مقبرة متناثرة فى الجبانتين الرئيسيتين تعد الجبانة الفاطمية بأسوان أحد الشواهد على حقبة تاريخية مهمة للتاريخ الإسلامى تبوح بها مشاهد مقابر الجبانة على أرض البقيع الأسوانى الذى يعتبر البقيع الثانى بعد بقيع المدينة المنورة لما تحويه الجبانة من رفات أجساد الصحابة والتابعين والأولياء والتى يؤكدها اكتشاف أقدم شاهد قبر بالجبانة فى عام 31 هجرياً، وتمثل قباب مقابر الجبانة طرازاً معمارياً فريداً يجسد عظمة العمارة الإسلامية، ولا يتوقف الأمر عند ذلك، حيث تحتوى الجبانة الفاطمية أيضاً على مقامات رمزية لآل البيت وأولياء الله الصالحين. وأطلق على الجبانة الإسلامية الفاطمية (القباب الفاطمية) لكثرة القباب التى بنيت بها والتى تعود إلى العصر الفاطمى فى فتراته المختلفة",السياحة الأثرية والتاريخية,,موقع أثرى,مصر,أطلال أثرية,src='https://github.com/nasser9008/masterpicture/blob/main/makaberfatimiah.jpeg',,,,,,
84,24.6406793512050,32.9349775128038,جبل السلسلة,Chain Mountain, العصر اليونانى والرومانى والبيزنطى,محافظة أسوان,"جبل السلسلة هو موقع أثري يقع في شمال أسوان في مصر العليا، حيث يضيق نهر النيل فتصبح كل ضفة جرفا شديد الانحدار. يضم الموقع مجموعة من المقالع الصخرية التي استمرت بالعمل من الأسرة الثامنة عشر وحتى عصور مصر البطلمية والرومانية.",السياحة الأثرية والتاريخية,,موقع أثرى,مصر,أطلال أثرية,src='https://github.com/nasser9008/masterpicture/blob/main/Silsileh.jpg',,,,,,
96,24.0769895185894,32.8954424563206,المسلة الناقصة,unfinished Obelisk,عصر الدولة القديمة,محافظة أسوان,"المسلة المصرية الأكبر المعروفة باسم ""المسلة غير المكتملة"" والتي يمكن العثور عليها اليوم بالضبط حيث كانت منذ القدم، عبارة عن نصف منحوتة من الصخور الصلبة. وكان القصد من هذه الكتلة الحجرية أن تكون مسلة طولها 120 قدما / 36 مترا. وتشير التقديرات إلى أن كتلة الجرانيت في هذا الحجم تزن بسهولة أكثر من 1000 طن، واقترح بعض الجيولوجيين الرقم من 1100 طن - 1150 طن. وأهم ما يحيّر العلماء هو كيفية قيام المصريين القدماء بنقل هذه الأحجار الثقيلة جدا من مكان إلى آخر. ",السياحة الأثرية والتاريخية,,موقع أثرى,مصر,أطلال أثرية,src='https://github.com/nasser9008/masterpicture/blob/main/masalah.png',,,,,,
99,24.2296966515104,32.8482753170092,وادى الكوبانية,Cuban Valley,مواقع ما قبل الأسرات,محافظة أسوان,يقع وادى الكوبانية على الجانب الغربى لنهر النيل على بعد حوالى 10 كم إل الشمال من أسوان وترجع المنطقة إلى العصر الحجرى القديم الأعلى حيث فى عام 1980 عثرت بعثة أمريكية بمنطقة وادى الكوبانية على هيكل عظمى يؤرخ بحوالى 20000 سنة ويعتبر ثانى أقدم هيكل عظمى فى مصر,السياحة الأثرية والتاريخية,,موقع أثرى,مصر,أطلال أثرية,src='https://github.com/nasser9008/masterpicture/blob/main/kobbbbbbbbbbbb.png',,,,,,
